player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Wyatt Teller,46131,G,CLV,16,100.0,2,8,72.9,68.6,73.6,4,17,662,100.0,100.0,97.5,6,27,6,1187,0,1,0,1187,709,709,1186,0,478,0
Terence Steele,39461,T,DAL,17,100.0,1,9,50.8,45.9,57.2,12,34,684,100.0,100.0,95.5,7,54,8,1178,0,0,0,1178,735,735,0,1176,443,1
Penei Sewell,81788,T,DET,17,99.9,1,11,90.7,78.1,93.1,5,14,639,99.8,99.9,98.4,7,20,1,1177,0,0,142,1178,674,675,0,1032,503,3
Luke Fortner,42028,C,JAX,17,100.0,0,15,44.3,54.9,40.0,3,21,708,100.0,100.0,97.7,5,28,4,1163,1163,0,0,1163,749,749,0,0,414,0
O'Cyrus Torrence,102821,G,BUF,17,100.0,1,4,56.0,49.2,59.6,3,34,651,100.0,100.0,96.7,6,40,3,1163,0,0,0,1163,695,695,1163,0,468,0
Spencer Brown,42296,T,BUF,17,100.0,1,4,68.1,65.0,71.9,5,30,650,100.0,100.0,96.5,9,40,5,1160,0,0,0,1160,694,694,0,1157,466,3
Rashawn Slater,59971,T,LAC,17,100.0,1,27,76.6,84.7,59.5,7,28,719,100.0,100.0,97.1,8,38,3,1154,0,0,1153,1154,762,762,0,0,392,0
Erik McCoy,37347,C,NO,17,100.0,1,20,79.4,59.3,89.4,2,20,651,100.0,100.0,97.7,8,26,4,1152,1152,0,0,1152,675,675,0,0,477,0
Bradley Bozeman,27934,C,CAR,17,100.0,0,5,62.2,48.9,67.5,5,19,684,100.0,100.0,97.1,5,32,8,1148,1148,0,0,1148,730,730,0,0,418,0
Taylor Moton,11819,T,CAR,17,100.0,0,5,74.6,78.1,65.6,0,40,684,100.0,100.0,96.9,4,41,1,1148,0,0,0,1148,730,730,0,1148,418,0
Ikem Ekwonu,98286,T,CAR,17,100.0,2,5,67.4,62.3,77.0,9,24,684,100.0,100.0,96.0,12,44,11,1148,0,0,1148,1148,730,730,0,0,418,0
Steve Avila,77319,G,LA,17,100.0,0,26,61.1,67.2,55.8,7,23,638,100.0,100.0,97.3,2,32,2,1147,0,1147,0,1147,685,685,0,0,462,0
Jordan Mailata,66916,T,PHI,17,99.8,1,24,84.1,83.2,83.0,2,40,650,99.7,99.7,96.3,8,45,3,1145,0,0,1136,1147,677,679,0,0,468,11
Jamaree Salyer,81656,G,LAC,17,100.0,0,27,54.2,61.2,49.4,8,25,711,100.0,100.0,96.6,3,41,8,1144,0,0,0,1144,754,754,1144,0,390,0
Quenton Nelson,12954,G,IND,17,100.0,0,14,70.8,80.3,63.4,3,17,643,100.0,100.0,98.3,6,21,1,1141,0,1141,0,1141,686,686,0,0,455,0
Connor McGovern,41714,G,BUF,17,100.0,1,4,58.5,74.2,48.5,4,17,651,100.0,100.0,98.1,4,23,2,1135,0,1135,0,1135,695,695,0,0,440,0
Shaq Mason,9564,G,HST,17,100.0,0,13,66.5,65.8,65.8,1,28,659,100.0,100.0,97.3,5,32,3,1132,0,0,0,1132,707,707,1132,0,425,0
Paris Johnson Jr.,129749,T,ARZ,17,100.0,5,1,60.1,64.2,55.1,8,26,634,100.0,100.0,96.1,12,42,8,1130,0,0,0,1130,685,685,0,1129,445,1
Mitch Morse,9482,C,BUF,17,100.0,1,4,64.1,72.8,62.0,2,24,649,100.0,100.0,97.8,5,27,1,1128,1128,0,0,1128,693,693,0,0,435,0
Matthew Bergeron,99658,G,ATL,17,100.0,0,2,59.5,57.1,60.2,8,19,599,100.0,100.0,96.7,4,33,6,1127,0,1127,0,1127,632,632,0,0,495,0
Darnell Wright,98480,T,CHI,17,100.0,1,6,62.4,61.4,66.0,3,41,618,100.0,100.0,95.3,11,51,7,1127,0,0,0,1127,646,646,0,1121,481,6
Will Fries,41530,G,IND,17,100.0,1,14,61.2,65.4,59.7,4,22,634,100.0,100.0,97.3,9,30,4,1125,0,0,0,1125,677,677,1125,0,448,0
Hjalte Froholdt,44959,C,ARZ,17,100.0,0,1,64.1,61.1,67.4,4,16,628,100.0,100.0,97.9,8,23,3,1123,1123,0,0,1123,679,679,0,0,444,0
Dion Dawkins,11818,T,BUF,17,100.0,3,4,73.7,76.4,66.3,7,26,645,100.0,100.0,97.3,9,34,1,1120,0,0,1119,1120,689,689,0,0,431,1
John Simpson,41715,G,BLT,17,100.0,0,3,56.5,61.8,56.9,5,20,602,100.0,100.0,97.8,11,26,1,1118,0,1118,0,1118,644,644,0,0,474,0
Trey Pipkins III,91462,T,LAC,17,99.9,2,27,62.8,67.3,50.3,8,32,694,100.0,99.9,95.8,7,49,9,1115,0,0,0,1116,736,737,0,1115,379,0
Coleman Shelton,39316,C,LA,17,100.0,1,26,64.5,48.9,72.6,11,21,626,100.0,100.0,97.1,6,34,2,1113,1113,0,0,1113,671,671,0,0,442,0
Anton Harrison,122929,T,JAX,17,100.0,1,15,53.0,60.7,45.8,2,20,665,100.0,100.0,97.6,7,27,5,1112,0,0,12,1112,701,701,0,1100,411,0
Will Hernandez,46180,G,ARZ,17,100.0,0,1,66.2,70.2,60.6,6,19,621,100.0,100.0,97.3,1,29,4,1109,0,0,0,1109,671,671,1109,0,438,0
Jason Kelce,6343,C,PHI,17,100.0,0,24,80.7,72.6,86.2,1,10,627,100.0,100.0,99.0,6,12,1,1108,1108,0,0,1108,654,654,0,0,454,0
Sam Cosmi,60114,G,WAS,17,100.0,0,32,80.6,74.0,80.9,4,26,736,100.0,100.0,97.8,4,31,1,1103,0,0,0,1103,777,777,1103,0,326,0
Robert Hainsey,59980,C,TB,17,100.0,1,30,52.8,60.8,53.0,2,21,641,100.0,100.0,97.6,9,27,4,1102,1102,0,0,1102,686,686,0,0,416,0
Luke Goedeke,77548,T,TB,17,100.0,3,30,72.5,71.2,70.5,5,30,641,100.0,100.0,96.5,12,40,5,1102,0,0,0,1102,686,686,0,1099,416,3
Cody Mauch,66637,G,TB,17,100.0,1,30,44.7,52.2,39.1,6,35,641,100.0,100.0,95.7,5,48,7,1102,0,0,0,1102,686,686,1102,0,416,0
Laken Tomlinson,9461,G,NYJ,17,100.0,0,22,55.0,60.6,49.6,10,34,692,100.0,100.0,95.8,3,51,7,1099,0,1099,0,1099,733,733,0,0,366,0
Tristan Wirfs,64818,T,TB,17,100.0,0,30,81.1,84.3,72.2,6,13,639,100.0,100.0,97.7,6,24,5,1099,0,0,1098,1099,684,684,0,0,415,1
Joe Thuney,10712,G,KC,17,100.0,0,16,74.6,83.4,66.1,6,25,696,100.0,100.0,97.5,2,33,2,1096,1,1070,25,1096,740,740,0,0,356,0
Creed Humphrey,59996,C,KC,17,100.0,0,16,78.2,78.6,77.5,3,9,697,100.0,100.0,98.6,6,16,4,1092,1063,2,0,1092,741,741,26,0,351,0
Josh Myers,59992,C,GB,17,100.0,1,12,55.8,52.7,55.2,3,20,629,100.0,100.0,97.4,5,28,5,1089,1089,0,0,1089,662,662,0,0,427,0
Jonah Williams,41651,T,CIN,17,100.0,2,7,58.5,57.9,54.0,10,23,695,100.0,100.0,96.5,5,41,8,1087,0,0,0,1087,730,730,0,1086,357,1
Cordell Volson,30614,G,CIN,17,100.0,1,7,58.3,46.7,64.0,6,27,695,100.0,100.0,96.9,3,38,5,1087,0,1087,0,1087,730,730,0,0,357,0
Trey Smith,62960,G,KC,17,100.0,2,16,72.2,65.7,74.0,5,27,686,100.0,100.0,97.4,8,34,2,1086,0,0,0,1086,730,730,1085,0,356,0
Brandon Scherff,9438,G,JAX,17,100.0,0,15,67.3,78.7,61.1,2,11,671,100.0,100.0,98.7,5,15,2,1079,0,0,0,1079,710,710,1079,0,369,0
Jawaan Taylor,41665,T,KC,17,99.9,2,16,51.6,66.4,44.6,9,33,683,99.9,99.9,96.2,20,47,5,1075,0,0,16,1076,727,728,0,1051,348,8
Ted Karras,10855,C,CIN,17,100.0,0,7,67.4,69.6,64.2,3,12,690,100.0,100.0,98.0,1,21,6,1075,1075,0,0,1075,725,725,0,0,350,0
Garett Bolles,11775,T,DEN,17,100.0,0,10,75.9,83.8,64.3,2,27,603,100.0,100.0,97.1,8,32,3,1073,0,0,1057,1073,649,649,0,0,424,15
Lloyd Cushenberry III,41924,C,DEN,17,100.0,0,10,73.2,76.4,72.4,4,9,601,100.0,100.0,98.8,5,14,1,1070,1069,0,0,1070,647,647,0,0,423,0
Mason Cole,45547,C,PIT,17,100.0,0,25,57.3,39.6,65.7,5,24,567,100.0,100.0,97.1,4,31,2,1069,1069,0,0,1069,604,604,0,0,465,0
Zach Tom,55443,T,GB,17,100.0,1,12,77.8,73.9,75.8,2,29,623,100.0,100.0,97.2,3,33,2,1068,4,0,0,1068,656,656,0,1064,412,0
Ben Powers,41482,G,DEN,17,100.0,0,10,61.5,62.1,59.7,2,25,603,100.0,100.0,97.1,3,31,4,1068,0,1067,0,1068,649,649,0,0,419,0
Alex Cappa,66578,G,CIN,17,100.0,0,7,64.9,58.6,67.3,7,24,682,100.0,100.0,97.1,4,35,4,1066,0,0,0,1066,716,716,1066,0,350,0
Chris Lindstrom,46692,G,ATL,16,100.0,2,2,87.6,78.6,87.5,2,10,574,100.0,100.0,98.4,7,15,3,1066,0,0,1,1066,606,606,1065,0,460,0
Graham Glasgow,10729,G,DET,16,100.0,0,11,75.1,56.2,82.1,7,30,583,100.0,100.0,96.5,5,39,2,1061,189,75,0,1061,614,614,797,0,447,0
Jake Matthews,8641,T,ATL,17,100.0,1,2,71.2,80.1,60.2,5,17,567,100.0,100.0,97.2,6,27,5,1061,0,0,1045,1061,596,596,0,0,465,16
Orlando Brown Jr.,46227,T,CIN,17,100.0,0,7,66.1,66.6,57.1,7,45,679,100.0,100.0,95.1,3,59,7,1058,0,0,1056,1058,714,714,0,0,344,2
David Andrews,9948,C,NE,17,100.0,1,19,71.2,51.2,78.0,2,22,626,100.0,100.0,97.1,1,30,6,1050,1050,0,0,1050,649,649,0,0,401,0
Aaron Brewer,46014,C,TEN,17,100.0,0,31,71.6,52.5,78.7,7,21,577,100.0,100.0,96.5,5,34,6,1050,1049,0,0,1050,622,622,0,0,428,0
Cesar Ruiz,59857,G,NO,16,100.0,0,20,51.2,58.3,46.3,2,20,582,100.0,100.0,97.3,2,27,5,1050,0,0,0,1050,603,603,1036,14,447,0
Joel Bitonio,8670,G,CLV,15,100.0,1,8,68.0,71.2,61.0,3,27,580,100.0,100.0,97.1,4,32,2,1047,0,1047,0,1047,621,621,0,0,426,0
Landon Dickerson,41712,G,PHI,16,100.0,2,24,70.0,77.6,67.8,5,26,599,100.0,100.0,96.9,9,34,3,1045,35,1010,0,1045,624,624,0,0,421,0
Dylan Parham,60953,G,LV,17,100.0,0,23,60.4,61.8,57.6,5,20,605,100.0,100.0,97.8,5,26,1,1042,82,959,0,1042,633,633,0,0,409,0
Taylor Decker,10650,T,DET,15,99.9,0,11,77.3,80.0,67.2,7,23,569,100.0,99.8,96.0,7,38,8,1041,0,0,1036,1042,598,599,0,0,443,6
Colton McKivitz,29314,T,SF,17,100.0,1,28,65.1,56.4,68.1,4,34,539,100.0,100.0,94.8,2,47,9,1040,0,0,26,1040,573,573,0,1014,467,0
Isaac Seumalo,10713,G,PIT,17,100.0,0,25,71.9,65.5,71.0,4,22,549,100.0,100.0,97.6,1,26,0,1038,0,1038,0,1038,586,586,0,0,452,0
Quinn Meinerz,112915,G,DEN,17,100.0,0,10,83.7,67.8,88.7,5,16,588,100.0,100.0,97.9,4,23,2,1038,0,0,0,1038,634,634,1037,0,404,0
Tyler Biadasz,41178,C,DAL,16,100.0,0,9,68.6,63.4,68.1,4,18,610,100.0,100.0,97.7,3,25,3,1028,1028,0,0,1028,654,654,0,0,374,0
Greg Van Roten,7746,G,LV,17,100.0,0,23,75.3,77.4,68.5,3,13,598,100.0,100.0,97.8,0,21,5,1025,0,0,0,1025,626,626,1024,0,399,0
Jake Brendel,11117,C,SF,17,100.0,0,28,63.9,42.3,70.5,3,24,537,100.0,100.0,97.1,1,29,2,1024,1024,0,0,1024,571,571,0,0,453,0
Ben Bredeson,27305,G,NYG,16,100.0,2,21,42.1,42.4,41.4,1,33,604,100.0,100.0,96.4,6,39,5,1014,346,189,0,1014,641,641,479,0,373,0
Bernhard Raimann,77948,T,IND,15,100.0,2,14,82.3,80.6,74.6,6,25,586,100.0,100.0,96.7,6,35,4,1012,0,0,1008,1012,620,620,0,0,392,4
Zion Johnson,99681,G,LAC,15,100.0,0,27,57.6,58.8,57.2,7,22,623,100.0,100.0,97.0,6,33,4,1006,0,1006,0,1006,661,661,0,0,345,0
Ethan Pocic,11813,C,CLV,15,100.0,1,8,71.4,70.7,69.8,2,14,540,100.0,100.0,98.3,5,17,1,999,999,0,0,999,582,582,0,0,417,0
Frank Ragnow,39137,C,DET,15,100.0,0,11,88.1,73.9,90.1,5,12,546,100.0,100.0,98.3,3,18,1,989,989,0,0,989,576,576,0,0,413,0
Austin Jackson,60816,T,MIA,16,100.0,2,17,68.4,64.7,68.8,3,14,564,100.0,100.0,97.8,8,21,4,989,0,0,0,989,592,592,0,988,397,1
Mekhi Becton,59818,T,NYJ,16,100.0,4,22,53.2,60.7,56.3,8,30,610,100.0,100.0,94.9,18,50,12,985,0,0,883,985,644,644,0,101,341,1
Christian Darrisaw,77373,T,MIN,15,100.0,2,18,82.4,85.3,73.9,13,12,609,100.0,100.0,97.0,7,31,6,982,0,0,982,982,650,650,0,0,332,0
Kevin Zeitler,7032,G,BLT,15,100.0,1,3,69.3,82.5,59.7,1,16,533,100.0,100.0,98.0,4,19,2,982,0,0,0,982,574,574,982,0,408,0
Lane Johnson,7786,T,PHI,16,100.0,0,24,80.9,79.5,78.5,2,28,547,100.0,100.0,96.7,4,33,3,981,0,0,9,981,572,572,0,972,409,0
Andrew Wylie,12333,T,WAS,15,100.0,1,32,69.2,67.5,66.1,6,27,657,100.0,100.0,96.1,4,42,9,977,0,0,0,977,693,693,0,974,284,3
Alaric Jackson,40972,T,LA,15,100.0,0,26,66.2,67.2,60.1,7,31,530,100.0,100.0,96.2,3,39,1,968,0,0,968,968,570,570,0,0,398,0
Andre James,47058,C,LV,16,100.0,0,23,74.6,71.2,75.0,4,11,556,100.0,100.0,97.9,3,19,4,963,963,0,0,963,583,583,0,0,380,0
Ed Ingram,59819,G,MIN,15,100.0,1,18,59.5,60.9,59.1,15,22,597,100.0,100.0,96.1,7,42,5,958,0,0,0,958,640,640,958,0,318,0
Evan Brown,38709,C,SEA,16,100.0,2,29,55.5,59.1,57.2,3,21,583,100.0,100.0,97.4,7,27,3,955,917,38,0,955,630,630,0,0,325,0
Lucas Patrick,11435,C,CHI,16,100.0,1,6,50.5,40.6,61.6,3,25,539,100.0,100.0,97.4,11,28,0,953,953,0,0,953,563,563,0,0,390,0
Dan Moore Jr.,60120,T,PIT,16,100.0,1,25,51.7,39.7,57.7,8,39,502,100.0,100.0,93.7,3,55,8,951,0,0,946,951,535,535,0,4,416,1
Mike McGlinchey,46275,T,DEN,16,100.0,1,10,67.5,63.5,74.8,8,35,528,100.0,100.0,94.8,9,49,6,947,0,0,0,947,569,569,0,941,378,5
James Daniels,45576,G,PIT,15,100.0,1,25,62.0,60.4,59.9,6,15,498,100.0,100.0,97.7,3,22,1,944,0,0,0,944,531,531,944,0,413,0
Tyler Smith,98385,G,DAL,14,100.0,3,9,72.9,68.7,79.7,2,14,565,100.0,100.0,98.4,13,17,1,942,0,941,0,942,608,608,0,0,334,0
Drew Dalman,52270,C,ATL,14,100.0,2,2,82.3,53.0,90.0,6,21,491,100.0,100.0,96.8,5,29,2,932,932,0,0,932,519,519,0,0,413,0
James Hurst,9001,G,NO,15,100.0,1,20,58.7,58.9,56.9,3,16,521,100.0,100.0,97.6,4,22,3,931,0,820,22,931,539,539,89,0,392,0
Jon Runyan,36661,G,GB,17,100.0,1,12,54.7,63.5,50.4,6,13,538,100.0,100.0,97.9,6,21,2,928,3,0,0,928,568,568,925,0,360,0
Damien Lewis,81532,G,SEA,16,100.0,0,29,59.6,63.0,57.9,1,25,566,100.0,100.0,97.2,4,29,3,926,0,926,0,926,610,610,0,0,316,0
D.J. Humphries,9457,T,ARZ,15,100.0,0,1,62.5,68.4,56.5,5,19,525,100.0,100.0,97.0,9,28,4,922,0,0,920,922,568,568,0,0,354,2
Tyler Linderbaum,82291,C,BLT,15,100.0,0,3,78.3,76.1,78.7,3,12,497,100.0,100.0,98.5,4,15,0,917,917,0,0,917,534,534,0,0,383,0
George Fant,11282,T,HST,15,100.0,0,13,63.5,69.4,53.8,4,23,522,100.0,100.0,96.8,3,30,3,915,0,0,41,915,559,559,0,874,356,0
Zack Martin,8651,G,DAL,15,100.0,2,9,69.8,77.2,64.3,7,11,539,100.0,100.0,97.6,3,22,4,908,0,0,0,908,581,581,908,0,327,0
Jermaine Eluemunor,11914,T,LV,17,100.0,1,23,68.5,64.4,71.5,6,16,529,100.0,100.0,96.8,5,28,6,905,0,0,125,905,552,552,0,779,353,0
Elgton Jenkins,46298,G,GB,15,100.0,0,12,65.4,81.3,57.3,6,17,520,100.0,100.0,97.8,4,23,0,903,0,903,0,903,544,544,0,0,359,0
Brian O'Neill,46854,T,MIN,14,100.0,1,18,74.5,73.4,71.7,2,25,551,100.0,100.0,96.5,8,33,6,884,0,0,0,884,590,590,0,884,294,0
Ryan Kelly,10652,C,IND,14,100.0,0,14,77.2,78.3,75.2,0,6,498,100.0,100.0,99.2,3,7,1,882,882,0,0,882,534,534,0,0,348,0
Kevin Dotson,46735,G,LA,14,100.0,0,26,85.2,68.3,88.8,7,9,483,100.0,100.0,97.5,2,20,4,881,0,0,0,881,520,520,881,0,361,0
Charles Leno Jr.,8880,T,WAS,13,100.0,1,32,72.5,77.8,62.0,5,26,598,100.0,100.0,96.9,10,34,3,880,0,0,880,880,631,631,0,0,249,0
Laremy Tunsil,10647,T,HST,14,99.9,0,13,73.4,85.4,60.5,3,12,516,99.8,99.8,97.6,10,20,5,876,0,0,870,877,556,557,0,0,320,7
Garrett Bradbury,46013,C,MIN,14,100.0,1,18,60.9,56.8,65.5,5,14,543,100.0,100.0,97.7,5,22,3,874,874,0,0,874,578,578,0,0,296,0
Peter Skoronski,129737,G,TEN,14,100.0,0,31,61.6,63.5,58.6,7,20,483,100.0,100.0,96.2,1,32,5,863,0,862,0,863,521,521,0,0,342,0
Rob Havenstein,9490,T,LA,14,100.0,1,26,81.8,68.4,87.5,2,19,482,100.0,100.0,97.4,3,23,2,856,0,0,0,856,516,516,0,856,340,0
Joe Tippmann,101568,C,NYJ,14,100.0,3,22,61.0,52.7,67.4,2,15,549,100.0,100.0,97.9,8,20,3,852,653,0,0,852,578,578,199,0,274,0
