player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Davis Webb,11842,QB,CAL,12,69.8,592,620,8.9,2.32,5,34,5.1,61.6,382,0,136,7.5,642,31,203,130,67.0,70.3,70.8,43.0,6,12,687,5,11.8,94.1,2.5,16,4,0,17,37,28,4.1,4291,6.9
Patrick Mahomes,11765,QB,TEXAS TECH,12,75.5,555,595,9.3,2.77,3,42,6.6,65.4,389,0,245,7.2,669,30,251,315,75.7,89.7,87.0,70.5,2,10,709,2,10.2,107.9,3.7,25,49,1,34,41,28,3.9,5056,8.5
Luke Falk,46586,QB,WASH STATE,12,78.8,562,585,7.4,2.68,3,28,4.5,70.6,413,0,118,6.8,637,30,222,341,71.1,84.8,84.5,53.8,4,10,677,3,22.9,104.8,4.2,27,25,1,15,37,18,2.7,4204,7.2
David Blough,46508,QB,PURDUE,12,68.1,479,519,9.2,2.59,6,24,4.4,56.8,295,0,177,9.5,575,31,160,273,71.3,56.0,56.5,55.2,3,21,611,5,15.8,75.5,4.9,28,28,1,30,25,27,4.4,3350,6.5
Deshaun Watson,11767,QB,CLEMSON,12,77.6,433,453,9.2,2.28,9,26,5.5,67.5,306,0,117,8.9,491,30,191,140,73.9,87.8,89.4,59.5,5,14,520,0,10.3,103.8,2.4,12,26,0,6,34,16,3.1,3617,8.0
Clayton Thorson,46501,QB,NWESTERN,12,69.8,401,443,9.0,2.74,7,19,4.1,58.2,258,0,191,7.9,492,22,148,256,54.0,67.6,69.0,49.7,5,8,515,0,17.8,86.8,6.9,34,15,1,29,21,20,3.9,2965,6.7
Greg Ward,12258,QB,HOUSTON,11,73.7,415,439,9.1,2.75,5,16,3.5,67.2,295,0,152,3.6,517,11,186,182,61.6,81.5,80.8,66.7,2,9,538,2,17.1,97.6,5.0,26,47,2,15,22,15,2.8,3306,7.5
Drew Lock,39517,QB,MISSOURI,12,64.3,415,436,12.0,2.27,7,31,6.7,54.6,238,0,78,10.9,462,29,134,229,34.7,67.8,71.0,38.1,3,10,487,1,15.4,87.8,2.6,12,13,0,11,23,24,4.9,3374,7.7
Daniel Jones,39395,QB,DUKE,12,72.6,402,429,7.7,2.42,9,13,2.9,62.7,269,0,157,7.9,488,23,154,154,54.9,65.7,66.5,57.8,6,9,509,4,19.1,85.6,6.1,30,26,0,12,16,16,3.1,2839,6.6
Ben Hicks,46595,QB,SMU,12,67.6,386,425,10.2,2.32,9,16,3.5,55.5,236,0,139,9.6,457,25,140,287,73.8,58.6,57.4,59.1,8,15,488,2,15.8,77.3,4.8,22,7,0,22,19,27,5.5,2937,6.9
Brandon Silvers,46483,QB,TROY,12,71.8,400,419,7.5,2.12,5,17,3.8,64.2,269,0,73,6.3,430,18,136,318,64.5,70.3,71.3,49.3,5,10,460,2,9.6,92.4,1.6,7,4,2,7,22,12,2.6,2942,7.0
Kenny Hill,46637,QB,TCU,12,72.0,403,419,10.1,2.72,6,18,4.1,60.1,252,0,114,13.1,479,38,146,305,47.9,69.3,64.7,72.7,2,13,500,6,19.3,81.7,4.6,22,37,4,4,15,23,4.6,3065,7.3
Mason Rudolph,46569,QB,OKLA STATE,12,71.5,393,417,10.8,2.56,1,29,6.7,62.8,262,0,134,6.8,476,19,165,262,57.2,90.7,91.0,55.5,4,4,493,2,22.4,108.1,6.3,30,26,0,19,25,13,2.6,3771,9.0
Cooper Rush,12324,QB,C MICHIGAN,12,72.5,382,416,10.0,2.64,12,27,6.1,61.1,254,0,168,8.3,469,23,146,134,36.9,83.0,81.4,63.2,6,13,495,0,20.2,91.3,7.2,34,18,1,15,23,18,3.6,3292,7.9
