player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
AJ Dillon,57165,HB,BOSTON COL,12,317,81,21,31.7,538,0,1699,1,3,81,1104,88.6,41,95,121,3,224,79.8,91.3,89.6,,75.1,56.4,90.1,78.9,61,1,195,13,125,386,0,0,16,330,14,1699,1104,3.48,5.4,1.56,90
Chuba Hubbard,57373,HB,OKLA STATE,12,309,70,26,48.3,934,0,1932,2,7,70,1191,89.9,44,91,262,5,64,66.8,86.2,88.5,,76.0,59.8,85.7,65.7,92,0,177,21,202,410,0,0,25,330,21,1932,1191,3.85,6.3,0.88,237
Jaret Patterson,77745,HB,BUFFALO,12,281,76,21,36.9,602,0,1631,2,12,76,1015,108.5,40,94,126,1,58,90.1,87.1,87.0,,57.9,60.5,86.2,62.0,82,0,204,12,151,342,0,0,15,293,17,1631,1015,3.61,5.8,1.35,217
Jonathan Taylor,57488,HB,WISCONSIN,12,279,76,27,38.6,680,0,1761,3,4,76,1074,102.3,55,99,349,5,134,63.1,91.5,88.7,,83.3,63.1,90.7,52.2,72,0,192,22,90,340,0,0,31,301,20,1761,1074,3.85,6.3,2.13,133
Malcolm Perry,46513,HB,NAVY,12,222,80,25,39.2,736,0,1394,0,0,61,762,94.3,61,96,237,9,70,53.3,88.4,88.5,63.7,,45.3,86.0,60.0,70,1,0,0,8,568,482,37,0,222,21,1876,963,3.72,7.2,0.0,87
Eno Benjamin,57136,HB,ARIZONA ST,12,253,62,11,23.0,245,0,1067,3,9,62,735,69.9,32,67,110,6,45,54.2,75.7,18.4,56.9,47.5,61.2,80.4,56.9,33,3,346,42,323,302,0,0,52,295,10,1067,735,2.91,4.2,1.07,208
J.K. Dobbins,57366,HB,OHIO STATE,12,250,52,27,47.0,779,0,1657,1,2,52,960,77.7,44,85,260,3,47,73.8,82.7,87.2,,70.2,62.3,81.9,66.2,68,0,200,17,160,314,0,0,20,267,19,1657,960,3.84,6.6,1.25,203
LeVante Bellamy,45854,HB,W MICHIGAN,12,247,52,24,54.6,770,0,1411,2,1,52,769,63.2,32,70,347,1,41,88.4,81.8,86.1,,67.5,45.7,83.8,79.2,75,0,53,14,214,275,0,0,21,261,23,1411,769,3.11,5.7,0.25,199
Caleb Huntley,57156,HB,BALL ST,12,246,49,15,33.5,424,0,1264,1,2,49,958,78.5,25,65,117,3,97,73.2,83.4,88.1,,67.5,52.8,82.2,55.6,54,1,25,7,100,286,0,0,8,253,12,1264,958,3.89,5.1,0.25,148
Brenden Knox,57287,HB,MARSHALL,12,244,51,18,31.5,393,0,1249,1,4,51,807,70.5,38,76,214,0,22,91.6,82.6,86.4,,50.4,60.3,83.6,65.5,43,0,161,14,153,303,0,0,18,258,11,1249,807,3.31,5.1,1.05,219
Javian Hawkins,77704,HB,LOUISVILLE,12,240,64,27,56.0,796,0,1421,0,1,64,894,99.2,39,59,210,0,2,91.8,83.9,28.8,,54.6,53.9,85.5,55.7,66,2,58,4,115,308,0,0,6,244,8,1421,894,3.73,5.9,0.5,238
Kylin Hill,57306,HB,MISS STATE,12,236,59,23,42.8,576,0,1340,2,3,59,733,76.1,40,71,227,0,93,91.5,84.4,85.7,,61.0,60.7,85.5,60.2,62,0,174,17,158,319,0,0,21,253,10,1345,733,3.11,5.7,1.1,142
