player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
JR Pace,10116,S,NWESTERN,12,5,12.0,51.2,99.4,21.0,10.7,0,1,7,16.3,256,79.1,73.6,89.6,57.5,57.5,56.6,3,47,17.8,8,5,0,59.0,22,485,488,9,32,43,2,287,126,0.6,13.0
Jeffrey Allison,12542,LB,FRESNO ST,12,4,4.4,70.0,82.8,19.1,13.4,0,1,1,5.0,169,73.8,80.4,84.7,62.4,82.0,70.5,2,19,7.1,2,1,2,60.6,14,284,343,13,22,20,1,111,62,0.4,7.9
Sione Takitaki,12666,LB,BYU,12,3,6.7,77.4,80.3,12.9,10.0,0,2,2,6.5,128,66.5,76.2,37.4,65.8,82.2,59.1,0,26,23.5,8,2,2,96.0,24,327,407,13,23,31,0,219,111,0.7,9.1
Robert Bullard,12729,CB,AIR FORCE,4,0,11.2,23.1,96.7,18.3,4.2,0,0,1,7.7,101,64.6,63.2,78.7,59.1,55.4,77.0,0,11,0.0,0,1,0,39.6,3,59,61,1,1,13,0,22,17,0.4,7.3
Malik Rivera,12743,S,GA TECH,12,7,15.5,50.0,99.2,37.5,18.8,0,0,3,15.0,176,76.6,69.8,16.8,67.5,58.7,60.2,2,56,20.6,7,3,2,72.5,10,382,385,0,20,20,2,168,77,0.4,16.8
Kamal Martin,12744,LB,MINNESOTA,12,4,3.1,78.0,84.9,8.6,6.7,0,1,1,2.4,225,62.7,60.1,86.7,58.5,55.7,47.8,0,30,21.4,6,1,1,98.2,32,292,344,7,18,41,1,230,154,0.8,7.2
Ken Webster,12955,CB,OLE MISS,10,2,11.7,55.6,98.3,10.9,6.0,0,0,6,22.2,226,75.7,76.7,83.1,63.7,75.6,72.4,2,34,16.7,3,4,2,58.1,15,171,174,3,13,27,1,183,91,1.1,12.2
Reggie Robinson II,13094,CB,TULSA,8,1,15.7,40.0,98.1,12.1,4.9,0,0,6,30.0,320,65.7,62.6,0.0,56.2,59.1,80.2,0,17,14.3,1,4,2,64.6,8,104,106,0,5,20,1,59,20,0.6,7.4
Jaylan Foster,13095,CB,S CAROLINA,2,0,25.0,50.0,100.0,8.0,4.0,0,0,0,0.0,289,54.8,55.7,72.7,,61.0,73.5,0,57,0.0,0,0,0,95.8,1,10,10,0,1,2,0,57,11,7.1,57.0
Ed Rolle,13172,CB,CHARLOTTE,12,2,9.0,65.8,95.3,10.8,7.1,0,1,4,10.5,136,63.4,63.7,87.5,55.0,64.0,55.2,0,70,21.2,7,4,0,134.1,25,283,297,10,24,38,5,343,189,1.3,13.7
Jabril Robinson,13396,ED,W VIRGINIA,11,1,,,0.8,,,0,0,0,,343,63.4,65.0,86.3,55.2,70.5,39.4,0,,60.0,3,0,0,0.0,0,2,257,1,1,0,0,0,0,0.0,
Corey Bell Jr.,13596,CB,N CAROLINA,6,0,9.8,41.7,93.9,17.2,7.2,0,0,4,33.3,245,71.3,68.0,81.9,52.9,53.9,32.4,1,52,33.3,1,3,2,69.4,5,92,98,0,2,12,1,114,76,1.3,22.8
Jeremy McDuffie,13599,CB,DUKE,8,2,15.6,42.1,96.6,13.4,5.6,1,1,3,15.8,154,55.1,59.9,84.2,64.4,71.3,76.5,0,67,14.3,1,2,2,113.7,8,114,118,1,4,19,2,189,94,1.8,23.6
DeShawn Capers-Smith,13604,CB,TEXAS A&M,10,5,5.7,69.6,94.5,8.2,5.7,0,1,3,6.5,312,65.2,66.9,87.7,70.5,67.0,61.2,1,57,18.2,6,2,0,111.8,32,277,293,10,22,46,3,431,315,1.7,13.5
Abraham Maiava,13614,DI,ARIZONA,11,0,,,2.4,,,0,0,0,,109,55.0,43.2,83.6,53.5,39.9,53.5,0,,100.0,1,0,0,0.0,0,3,126,0,0,0,0,0,0,0.0,
Colin Samuel,13643,CB,UCLA,3,0,13.0,100.0,100.0,3.5,3.5,0,0,0,0.0,324,47.3,50.1,73.6,,59.4,77.0,0,13,0.0,0,0,0,156.3,2,9,9,0,1,2,1,24,3,3.4,12.0
Tanner Karafa,13787,DI,BOSTON COL,12,2,1.0,50.0,0.6,2.0,1.0,2,1,0,0.0,121,59.6,73.7,43.9,57.2,82.9,74.7,0,5,50.0,2,0,3,56.3,1,2,334,4,0,2,0,5,0,2.5,5.0
Aaron Roberson,13789,CB,LA TECH,5,0,33.0,0.0,88.0,,7.3,0,0,1,33.3,208,74.2,75.4,76.4,59.0,68.9,76.0,0,,0.0,0,1,0,39.6,0,22,25,0,1,3,0,0,0,0.0,
Terez Dickerson,13811,LB,DOMINION,11,2,3.3,85.7,92.7,16.3,14.0,0,0,2,28.6,263,60.2,68.8,78.2,54.5,75.9,69.1,0,20,42.9,3,2,0,106.5,6,102,110,2,2,7,0,67,47,0.7,11.2
Tyrin Ferguson,13817,LB,NEBRASKA,8,3,2.4,100.0,52.9,5.9,5.9,0,0,0,0.0,238,55.2,67.0,54.4,66.7,74.1,75.2,0,40,15.4,2,0,1,109.7,12,73,138,5,8,12,0,124,95,1.7,10.3
Trevon Hill,13821,ED,VA TECH,3,0,,,12.3,,,0,0,0,,337,67.5,75.0,0.0,80.1,68.2,54.4,0,,0.0,0,0,2,0.0,0,9,73,4,1,0,0,0,0,0.0,
Adonis Thomas,13851,LB,FLORIDA ST,10,1,7.3,100.0,82.5,19.5,19.5,0,0,0,0.0,167,63.2,70.8,77.9,52.1,79.8,82.0,0,24,0.0,0,0,0,118.8,4,80,97,0,3,4,0,59,30,0.8,14.8
Taylor Heflin,13878,LB,NAVY,12,3,4.3,82.6,88.5,16.2,13.4,1,1,0,0.0,237,54.1,58.0,29.7,76.1,58.4,63.5,0,40,17.9,5,0,3,104.3,19,315,356,12,20,23,0,208,151,0.7,10.9
Chase Johnston,13896,ED,KANSAS ST,6,0,,,3.3,,,0,0,0,,199,60.1,61.9,78.2,58.6,64.5,76.1,0,,,0,0,0,0.0,0,2,60,2,0,0,0,0,0,0.0,
