player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Cole Brown,81768,T,N TEXAS,12,100.0,0,251,42.7,30.7,46.2,9,27,398,100.0,100.0,95.0,2,38,2,990,0,0,989,990,430,430,0,0,560,1
Jacob Brammer,59944,T,N TEXAS,12,100.0,1,251,58.6,58.9,58.9,1,22,395,100.0,100.0,96.8,6,24,1,979,0,0,0,979,427,427,0,979,552,0
Manase Mose,59950,C,N TEXAS,12,100.0,0,251,61.5,43.5,68.9,0,6,392,100.0,100.0,99.2,8,6,0,969,921,0,0,969,423,423,48,0,546,0
Daizion Carroll,81769,G,N TEXAS,12,100.0,3,251,62.1,39.4,66.3,1,18,390,100.0,100.0,97.6,9,19,0,959,60,0,0,959,422,422,899,0,537,0
Brett Neilon,55555,C,USC,12,100.0,0,326,86.2,81.9,87.8,1,9,533,100.0,100.0,99.1,4,10,0,955,955,0,0,955,575,575,0,0,380,0
Quazzel White,60107,G,UTAH ST,12,100.0,2,329,55.4,65.6,51.1,4,12,477,100.0,100.0,97.9,5,18,2,944,0,0,0,944,512,512,926,17,432,0
Cam Reddy,77340,C,COLO STATE,12,100.0,0,144,63.7,67.7,62.1,4,12,478,100.0,100.0,97.9,3,18,2,935,935,0,0,935,495,495,0,0,440,0
Jake Fuzak,44882,T,BUFFALO,12,100.0,0,126,73.3,75.1,70.1,4,4,402,100.0,100.0,98.5,6,10,2,931,0,0,929,931,440,440,0,0,491,2
Bill Kuduk,59777,T,KENT STATE,12,100.0,0,201,69.6,65.6,68.7,3,13,410,100.0,100.0,97.1,5,20,4,930,0,0,925,930,445,445,0,1,485,2
Mark Brooks,41609,T,W MICHIGAN,12,100.0,1,347,71.1,67.3,70.1,4,14,423,100.0,100.0,96.7,5,23,5,929,0,0,0,929,453,453,0,929,476,0
LaQuinston Sharp,99095,C,MISS STATE,12,100.0,0,227,75.9,83.4,71.8,0,7,688,100.0,100.0,99.2,2,9,2,928,928,0,0,928,727,727,0,0,201,0
Jeremy James,98423,T,OLE MISS,12,100.0,1,226,76.3,78.2,73.9,1,9,472,100.0,100.0,98.9,7,10,0,928,0,0,0,928,497,497,0,927,431,0
Gabriel Preciado,91695,G,NEW MEX ST,12,100.0,0,242,57.0,50.3,58.2,8,24,608,100.0,100.0,96.7,3,36,4,928,0,927,0,928,647,647,0,0,281,0
Wesley French,29608,T,W MICHIGAN,12,100.0,5,347,62.5,53.9,68.8,2,24,423,100.0,100.0,96.0,15,30,4,927,0,0,925,927,453,453,0,2,474,0
Nick Broeker,99084,T,OLE MISS,12,100.0,1,226,67.1,78.5,63.1,1,10,472,100.0,100.0,98.4,10,13,2,927,0,0,927,927,497,497,0,0,430,0
Eli Johnson,40824,C,NEW MEX ST,12,100.0,1,242,57.3,54.2,59.4,2,27,607,100.0,100.0,97.3,5,31,2,926,926,0,0,926,646,646,0,0,280,0
Carter Warren,60023,T,PITTSBURGH,12,99.6,1,268,74.9,80.9,70.8,2,16,547,99.3,99.3,98.0,8,20,2,923,0,0,675,927,579,583,0,10,344,242
Charles Cross,98401,T,MISS STATE,12,100.0,2,227,86.6,84.7,87.2,0,14,680,100.0,100.0,98.7,9,16,2,919,0,0,919,919,719,719,0,0,200,0
Kohl Levao,75850,C,HAWAII,13,100.0,0,180,64.8,69.7,63.3,3,14,556,100.0,100.0,98.1,6,19,2,919,849,70,0,919,584,584,0,0,335,0
Paiton Fears,98700,T,ARIZONA,12,100.0,0,109,61.9,65.6,57.3,2,19,533,100.0,100.0,96.9,3,27,6,915,0,0,0,915,567,567,0,911,348,0
Mike Caliendo,41446,C,W MICHIGAN,12,100.0,1,347,75.6,76.1,80.1,2,5,421,100.0,100.0,99.2,13,7,0,915,915,0,0,915,450,450,0,0,465,0
Josh McCauley,40870,C,ARIZONA,12,100.0,2,109,69.6,79.5,65.3,3,11,531,100.0,100.0,98.5,5,15,1,912,860,0,52,912,565,565,0,0,347,0
Ilm Manning,75852,T,HAWAII,13,99.9,2,180,65.9,64.9,65.5,6,28,552,99.8,99.8,96.0,4,39,5,912,0,0,906,913,578,579,0,0,334,6
Kameron Jones,81739,G,MISS STATE,12,100.0,1,227,67.7,78.2,66.5,2,13,675,100.0,100.0,98.6,9,17,2,911,0,863,0,911,714,714,0,48,197,0
Olusegun Oluwatimi,98581,C,VIRGINIA,12,100.0,1,335,80.0,75.3,90.2,5,12,630,100.0,100.0,98.2,9,20,3,910,910,0,0,910,664,664,0,0,246,0
Gene Pryor,75851,T,HAWAII,13,100.0,0,180,74.9,79.0,71.4,3,19,546,100.0,100.0,96.9,6,28,6,910,0,0,0,910,574,574,0,910,336,0
Sage Doxtater,46338,T,NEW MEX ST,12,100.0,0,242,73.2,74.0,69.2,3,19,594,100.0,100.0,97.8,7,24,2,907,0,1,905,907,632,632,0,0,275,1
Loic Ngassam Nya,55442,G,WAKE,12,100.0,1,339,65.7,74.8,64.6,3,9,499,100.0,100.0,98.0,7,16,4,907,0,131,0,907,528,528,776,0,379,0
Sean Maginn,55446,G,WAKE,12,100.0,0,339,70.4,64.5,72.8,2,15,498,100.0,100.0,98.1,4,18,1,906,126,780,0,906,527,527,0,0,379,0
DeVonte Gordon,98391,T,WAKE,12,100.0,0,339,72.4,73.6,72.1,1,19,496,100.0,100.0,96.6,6,27,7,904,0,0,0,904,525,525,0,904,379,0
Justin Chase,40005,T,E CAROLINA,12,100.0,0,156,50.1,32.4,58.0,5,17,471,100.0,100.0,96.4,1,28,6,904,0,0,800,904,495,495,0,104,409,0
Andre Harris Jr.,58501,T,ARK STATE,12,99.9,1,113,75.3,85.2,62.3,1,13,602,100.0,99.8,98.3,3,17,3,904,0,0,904,905,633,634,0,0,271,1
Andrew Vorhees,60818,G,USC,12,100.0,0,326,90.1,90.7,90.5,2,11,504,100.0,100.0,98.7,3,13,0,902,0,500,402,902,544,544,0,0,358,0
Justin Osborne,99071,G,SMU,12,100.0,0,287,60.8,61.7,57.5,1,23,507,100.0,100.0,97.2,1,26,2,902,0,1,0,902,531,531,775,126,371,0
Cole Spencer,60236,T,W KENTUCKY,12,100.0,0,346,77.3,91.7,64.4,3,5,620,100.0,100.0,99.0,7,10,2,901,0,0,897,901,657,657,0,2,244,1
Rusty Staats,81941,C,W KENTUCKY,12,100.0,0,346,70.9,83.1,68.7,0,4,620,100.0,100.0,99.7,8,4,0,901,901,0,0,901,657,657,0,0,244,0
Quantavious Leslie,123456,G,W KENTUCKY,12,100.0,0,346,72.3,84.0,71.2,1,11,620,100.0,100.0,98.9,6,13,1,901,0,901,0,901,657,657,0,0,244,0
Boe Wilson,41394,G,W KENTUCKY,12,100.0,2,346,71.6,87.4,66.0,0,6,620,100.0,100.0,99.4,5,7,1,901,0,0,1,901,657,657,900,0,244,0
Zach Tom,55443,T,WAKE,12,100.0,2,339,82.4,90.3,76.8,2,7,496,100.0,100.0,98.5,6,12,3,900,0,0,891,900,525,525,0,7,375,2
Ben Dooley,101247,G,BOISE ST,12,100.0,0,120,70.0,43.3,80.0,10,11,463,100.0,100.0,96.9,5,25,4,900,0,0,3,900,488,488,610,285,412,2
Mason Brooks,81938,T,W KENTUCKY,12,100.0,1,346,70.8,74.3,68.4,1,12,618,100.0,100.0,98.6,7,15,2,899,0,0,0,899,655,655,1,895,244,1
Gabe Blair,145323,G,N TEXAS,12,100.0,0,251,60.0,61.6,57.4,1,11,353,100.0,100.0,98.3,1,12,0,899,0,899,0,899,381,381,0,0,518,0
Zion Nelson,98239,T,MIAMI FL,12,100.0,0,220,73.3,85.3,65.0,3,9,533,100.0,100.0,98.3,5,15,3,898,0,0,892,898,568,568,0,0,330,5
Demytrick Ali'ifua,41289,G,UTAH ST,12,100.0,0,329,51.4,51.1,50.0,9,10,448,100.0,100.0,97.4,4,21,2,897,50,845,0,897,482,482,1,0,415,0
Bernhard Raimann,77948,T,C MICHIGAN,12,100.0,1,134,94.6,88.7,94.6,3,6,456,100.0,100.0,98.8,4,10,1,895,0,1,890,895,475,475,0,0,420,3
Adam Korutz,44467,G,COLO STATE,12,100.0,1,144,58.9,56.8,56.8,4,13,465,100.0,100.0,97.3,2,21,4,894,0,0,0,894,482,482,889,0,412,0
Jamezz Kimbrough,55052,C,C MICHIGAN,12,100.0,0,134,64.3,63.7,64.4,2,13,456,100.0,100.0,97.9,3,17,2,894,894,0,0,894,475,475,0,0,419,0
Jack Wohlabaugh,41710,C,DUKE,12,100.0,0,154,78.0,76.7,78.1,2,3,439,100.0,100.0,99.2,6,6,1,893,893,0,0,893,466,466,0,0,427,0
Dylan Couch,41390,G,TULSA,12,100.0,2,320,65.0,72.2,63.9,3,7,415,100.0,100.0,98.3,7,12,2,885,0,271,0,885,451,451,614,0,434,0
Matt Dale,98648,T,MEMPHIS,12,100.0,0,218,60.0,60.8,65.7,4,26,512,100.0,100.0,96.5,10,33,3,885,0,0,0,885,549,549,0,885,336,0
Barry Wesley,52018,T,COLO STATE,12,100.0,0,144,72.8,61.0,76.1,4,14,454,100.0,100.0,97.8,2,19,1,884,0,193,418,884,471,471,19,254,413,0
Gus Hartwig,129814,C,PURDUE,12,100.0,1,273,65.6,72.8,61.3,0,10,560,100.0,100.0,98.6,4,13,3,883,882,0,0,883,582,582,0,0,301,1
Jack Klenk,45097,G,BUFFALO,12,100.0,0,126,56.7,62.8,54.3,5,8,380,100.0,100.0,97.8,3,15,2,881,0,127,0,881,415,415,754,0,466,0
Alfred Edwards III,60190,T,UTAH ST,11,100.0,0,329,58.5,70.5,48.7,4,14,446,100.0,100.0,97.8,3,19,1,881,0,0,880,881,478,478,0,0,403,1
Dylan Parham,60953,G,MEMPHIS,12,100.0,0,218,78.8,84.5,79.2,2,8,509,100.0,100.0,99.0,4,10,0,881,0,0,0,881,545,545,881,0,336,0
Navaughn Donaldson,59848,G,MIAMI FL,12,100.0,1,220,65.9,74.3,61.3,1,10,520,100.0,100.0,98.7,5,12,1,877,10,722,0,877,555,555,145,0,322,0
Tyler Witt,40256,G,PURDUE,12,100.0,0,273,63.4,71.9,58.2,0,14,553,100.0,100.0,98.4,2,16,2,876,0,0,1,876,575,575,874,0,301,1
Leroy Thomas,81786,G,DOMINION,12,100.0,0,263,63.3,56.1,65.4,4,23,438,100.0,100.0,96.0,5,31,4,876,0,20,0,876,455,455,856,0,421,0
Nick Saldiveri,81785,T,DOMINION,12,100.0,1,263,80.7,78.4,77.3,2,12,437,100.0,100.0,97.5,1,18,4,876,0,0,0,876,454,454,20,851,422,5
John Ojukwu,58530,T,BOISE ST,12,100.0,0,120,70.1,81.6,60.1,3,13,459,100.0,100.0,97.4,1,20,4,875,0,0,869,875,484,484,3,0,391,3
Avery Jones,77352,C,E CAROLINA,12,100.0,0,156,59.6,61.2,61.3,3,13,457,100.0,100.0,97.6,7,19,3,874,874,0,0,874,478,478,0,0,396,0
Gabe Wallace,77535,G,BUFFALO,12,100.0,1,126,67.4,64.8,66.5,2,12,388,100.0,100.0,97.9,2,15,1,873,0,774,2,873,423,423,0,97,450,0
Scott Lashley,40723,T,MISS STATE,12,100.0,5,227,56.8,63.6,60.4,5,23,648,100.0,100.0,96.8,16,35,7,872,0,0,0,872,680,680,0,872,192,0
Nolan Potter,77521,T,N ILLINOIS,12,100.0,0,254,78.9,65.9,78.3,1,7,331,100.0,100.0,98.2,2,10,2,868,0,0,0,868,349,349,1,862,519,5
