player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dru Prox,23093,LB,UTSA,3,0,0,331,55.0,0,0,3,13.3,0.0,0,0,0.0,0,30,4,0,0,57.1,0,0,1,33.3,0.0,0,0.0,0,6,2,0
Colby Reeder,30285,LB,IOWA STATE,8,1,0,193,75.7,5,2,48,24.9,14.6,7,1,11.5,2,197,49,9,0,67.0,2,1,16,47.2,18.8,3,9.4,0,36,17,3
Kyle Pugh,35900,LB,N ILLINOIS,12,0,0,254,53.6,1,4,27,16.8,0.0,0,0,9.3,0,167,28,5,0,64.8,0,3,12,22.8,0.0,0,12.5,0,57,13,3
Jordan Carmouche,39951,LB,ARK STATE,12,0,0,113,52.3,2,5,45,12.4,2.2,1,1,10.0,1,371,46,8,0,50.8,0,4,18,15.3,0.0,0,11.1,0,124,19,4
Alema Pilimai,41395,ED,BYU,4,0,0,128,67.6,0,0,16,100.0,12.5,2,0,0.0,0,20,20,0,0,59.6,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Monte McGary,42477,CB,KANSAS,7,0,0,198,69.5,1,0,2,8.3,0.0,0,0,25.0,0,24,2,1,0,69.5,1,0,2,20.0,0.0,0,25.0,0,10,2,1
Bricen Garner,42520,S,W MICHIGAN,12,1,0,347,64.6,1,1,10,2.5,0.0,0,0,10.0,0,400,10,2,0,60.0,0,0,1,0.7,0.0,0,0.0,0,142,1,0
Brandon Moore,42620,CB,NEBRASKA,6,0,0,238,60.0,0,0,1,1.2,0.0,0,1,0.0,0,84,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Brandon Bouyer-Randle,42637,LB,UCONN,12,1,0,146,64.5,3,10,149,42.6,9.4,14,0,5.0,1,371,158,14,0,65.9,3,4,76,62.8,15.8,12,4.6,0,129,81,7
Clifford Chattman,42657,S,UTSA,12,0,0,331,75.8,1,2,6,1.5,16.7,1,2,25.0,0,406,6,3,0,,0,0,0,0.0,,0,,0,130,0,0
Anthony Watts,42807,DI,MARSHALL,12,0,0,214,59.2,0,6,204,95.5,4.9,10,1,2.0,1,221,211,7,0,66.2,0,3,68,98.6,11.8,8,3.7,1,71,70,4
Ryan McWood,43189,LB,MIAMI OH,11,0,0,221,51.9,2,7,52,12.9,5.8,3,0,10.6,1,417,54,10,0,51.8,1,6,31,18.6,6.5,2,14.5,1,177,33,8
Jaydon Grant,43354,S,OREGON ST,11,0,0,265,51.6,1,5,18,4.2,0.0,0,2,22.2,1,449,19,7,0,46.7,0,3,8,4.5,0.0,0,18.8,0,176,8,3
Linwood Crump,43401,CB,NEW MEX ST,11,0,0,242,79.5,0,0,6,2.4,16.7,1,2,16.7,1,255,6,1,0,,0,0,0,0.0,,0,,0,78,0,0
Jon-Michael Terry,43635,LB,TULSA,12,0,1,320,59.0,2,14,86,23.9,8.1,7,2,11.6,2,380,91,18,0,64.2,1,7,34,52.1,11.8,4,14.7,1,71,37,9
Tyrone Hopper,43714,ED,MISSOURI,10,0,1,229,56.7,0,0,58,90.9,5.2,3,3,0.0,0,66,60,0,0,56.8,0,0,13,100.0,7.7,1,0.0,0,14,14,0
Sione Tupou,44093,LB,TEXAS ST,12,0,0,314,78.5,1,9,57,13.5,15.8,9,0,12.3,2,446,60,12,0,67.5,0,4,20,16.8,15.0,3,15.0,1,131,22,5
Semisi Fakasiieiki,44340,LB,PURDUE,10,0,0,273,77.8,0,1,4,5.0,25.0,1,1,12.5,0,101,5,1,0,80.4,0,0,1,3.0,100.0,1,0.0,0,33,1,0
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,0,0,174,55.9,0,2,8,19.0,0.0,0,0,12.5,0,58,11,2,0,58.5,0,1,5,26.1,0.0,0,10.0,0,23,6,1
Alden Tofa,51983,ED,BYU,12,0,0,128,60.5,1,4,84,83.8,8.3,7,0,4.2,1,105,88,6,0,60.7,0,0,21,95.7,9.5,2,0.0,0,23,22,0
Chaz Ah You,51989,S,BYU,2,0,0,128,59.5,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
Earl Tuioti-Mariner,51992,ED,BYU,10,0,0,128,58.2,0,6,125,99.2,4.8,6,0,2.4,0,131,130,6,0,60.7,0,4,32,100.0,12.5,4,6.3,0,32,32,4
Lorenzo Fauatea,52005,DI,BYU,11,0,1,128,58.3,2,4,176,100.0,3.4,6,2,4.0,4,187,187,10,0,57.5,1,1,48,100.0,4.2,2,4.2,1,52,52,3
Penei Pavihi,52079,LB,HAWAII,13,0,0,180,60.1,1,5,36,9.5,5.6,2,1,11.1,1,402,38,7,0,56.0,0,2,13,13.3,7.7,1,7.7,0,105,14,2
George Nyakwol,52203,S,RICE,9,0,0,275,73.7,3,1,13,6.7,7.7,1,0,15.4,0,194,13,4,0,65.9,0,1,2,3.2,0.0,0,25.0,0,62,2,1
Kenneth Orji,52209,ED,RICE,9,0,0,275,50.5,0,6,75,84.2,2.7,2,0,4.0,0,95,80,6,0,53.0,0,4,28,85.3,3.6,1,7.1,0,34,29,4
Trey Schuman,52216,ED,RICE,12,0,0,275,77.2,5,12,124,97.1,13.7,17,3,10.9,5,136,132,22,0,75.9,3,7,44,98.0,15.9,7,15.9,2,49,48,12
Alii Matau,52219,LB,S JOSE ST,11,1,0,285,69.9,1,13,128,37.4,9.4,12,1,10.2,6,358,134,20,0,68.1,1,12,65,59.8,12.3,8,17.7,5,117,70,18
Rico Tolefree,52250,LB,S JOSE ST,9,0,0,285,54.3,0,0,11,16.9,0.0,0,1,0.0,0,71,12,0,0,55.6,0,0,5,26.3,0.0,0,0.0,0,19,5,0
Sinjun Astani,52257,ED,USC,2,0,0,326,58.1,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,58.4,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Tre White,52261,S,S JOSE ST,8,0,0,285,61.0,0,0,1,2.1,100.0,1,1,0.0,0,47,1,0,0,61.0,0,0,1,9.1,100.0,1,0.0,0,11,1,0
Gabe Reid,52273,ED,UTAH,11,0,0,328,73.6,2,28,196,92.5,15.3,30,1,9.7,4,228,211,34,0,77.8,2,13,71,97.5,25.4,18,16.2,4,80,78,19
Ryan Johnson,52282,ED,NWESTERN,6,3,0,256,65.5,2,4,73,97.5,5.5,4,0,5.5,1,79,77,7,1,59.9,0,1,28,96.8,3.6,1,5.4,1,31,30,2
Bentlee Sanders,52291,S,NEVADA,12,0,0,239,59.6,0,0,1,0.2,0.0,0,2,0.0,0,409,1,0,0,,0,0,0,0.0,,0,,0,137,0,0
Darrien Grant,52293,DI,USF,12,0,0,327,54.9,1,4,158,100.0,3.2,5,0,1.6,0,167,167,5,0,62.0,1,2,40,100.0,10.0,4,3.8,0,42,42,3
