player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Marcus Carroll,123849,HB,GA STATE,12,271,44,21,37.6,506,0,1344,2,8,44,757,49.2,46,77,175,3,48,75.9,72.9,87.5,,35.7,51.3,77.9,52.9,63,0,233,24,276,373,0,0,30,295,13,1344,757,2.79,5.0,0.84,220
Tahj Brooks,123133,HB,TEXAS TECH,12,270,91,20,31.2,452,0,1451,1,3,91,919,109.2,36,83,315,2,130,83.0,89.4,62.3,,72.1,55.4,91.8,62.0,46,1,73,23,281,330,0,0,29,293,9,1451,919,3.4,5.4,0.26,137
Kimani Vidal,123727,HB,TROY,12,252,81,15,36.3,490,0,1349,0,10,81,866,116.3,39,66,318,2,94,81.5,90.7,58.5,,76.7,65.2,91.2,56.7,69,1,197,17,208,277,0,0,20,269,9,1349,866,3.44,5.4,0.95,157
Cody Schrader,157177,HB,MISSOURI,12,248,45,18,39.0,578,0,1483,1,4,45,788,57.9,36,74,229,1,83,88.4,82.3,63.2,,52.4,54.9,88.4,42.6,52,1,192,21,252,327,0,0,25,269,13,1483,788,3.18,6.0,0.76,164
Ollie Gordon II,157792,HB,OKLA STATE,12,245,59,29,57.2,903,1,1580,4,10,59,924,93.6,42,72,262,2,166,81.3,82.5,63.2,37.5,46.3,57.7,89.4,55.7,75,2,272,33,315,285,0,0,41,278,20,1580,924,3.77,6.4,0.86,73
Quinshon Judkins,157128,HB,OLE MISS,12,237,69,13,27.2,286,1,1053,1,1,69,797,91.2,33,65,226,0,113,91.6,85.2,59.3,,43.9,64.0,88.6,52.4,40,2,135,21,207,296,0,0,24,258,15,1053,797,3.36,4.4,0.65,121
Kay'Ron Lynch-Adams,101643,HB,UMASS,12,235,74,23,43.0,496,0,1154,2,7,74,800,108.1,41,66,216,2,148,79.7,79.9,86.9,,31.6,54.4,85.1,49.3,47,0,118,20,228,283,0,0,24,255,12,1154,800,3.4,4.9,0.52,85
Omarion Hampton,162750,HB,N CAROLINA,12,234,63,18,38.0,546,0,1422,0,11,63,1023,124.4,35,74,245,2,64,80.3,88.2,86.4,,53.5,70.2,90.4,54.3,68,0,215,26,249,279,0,0,29,260,15,1438,1023,4.37,6.1,0.86,162
Makhi Hughes,158417,HB,TULANE,12,231,62,18,37.5,465,1,1241,1,5,62,860,103.5,36,60,319,0,136,91.5,86.7,56.1,,36.8,53.1,89.0,67.1,58,1,59,10,136,307,0,0,11,241,7,1241,860,3.72,5.4,0.43,91
Frank Gore Jr.,121457,HB,SO MISS,12,229,67,19,46.7,523,0,1119,3,12,67,824,111.0,31,63,296,3,89,70.8,88.0,87.4,41.6,75.4,64.9,90.3,53.8,75,0,224,27,172,278,0,0,36,256,10,1119,824,3.6,4.9,1.3,140
Jaydn Ott,158325,HB,CAL,11,229,54,15,38.0,478,0,1257,0,5,54,778,80.2,31,59,130,3,161,71.6,87.9,86.1,,53.3,70.5,89.3,61.1,66,0,141,21,191,256,0,0,27,250,11,1257,778,3.4,5.5,0.74,64
Marquez Cooper,130489,HB,BALL ST,12,227,62,16,33.3,347,0,1043,0,8,62,784,98.3,29,67,117,1,81,87.0,86.6,56.5,,20.6,67.2,90.3,42.0,39,1,164,19,166,315,0,0,22,246,4,1043,784,3.45,4.6,0.99,146
LeQuint Allen,158290,HB,SYRACUSE,12,223,56,11,28.0,299,2,1068,2,7,56,682,73.8,24,55,304,1,118,87.4,79.9,39.1,35.1,48.8,62.9,85.7,47.6,56,2,202,38,229,332,1,1,44,261,9,1069,683,3.05,4.8,0.88,102
Emani Bailey,122630,HB,TCU,12,223,70,19,43.9,532,0,1211,0,9,70,820,117.1,38,68,305,2,91,79.1,84.7,87.0,,42.4,65.2,88.7,55.6,74,0,184,25,284,260,0,0,25,248,8,1211,820,3.68,5.4,0.65,132
Kyle Monangai,129891,HB,RUTGERS,12,217,60,14,29.5,324,0,1100,1,5,60,749,100.6,29,60,278,0,70,91.3,91.3,85.4,,59.7,54.3,91.1,72.7,55,0,61,6,92,293,0,0,12,223,7,1100,749,3.45,5.1,0.66,146
Bryson Daily,147303,QB,ARMY,11,205,32,6,18.4,170,0,865,0,0,28,507,33.8,23,60,114,6,80,45.3,58.0,76.4,39.1,62.2,54.3,68.3,60.3,62,2,0,0,1,452,57,11,0,205,7,922,554,2.56,4.3,0.0,104
RJ Harvey,99622,HB,UCF,12,209,64,23,50.3,655,0,1295,0,13,61,725,113.6,40,75,323,2,70,77.8,88.0,30.4,40.1,52.9,72.8,90.9,50.4,92,2,231,17,167,297,8,1,19,226,16,1303,737,3.51,6.2,1.38,128
Audric Estime,147476,HB,NOTRE DAME,12,209,64,22,44.1,591,0,1341,0,3,64,892,126.5,38,69,258,1,121,85.6,94.2,85.9,,63.6,72.1,94.0,60.0,80,0,142,17,109,223,0,0,17,226,18,1341,892,4.27,6.4,1.3,88
Blake Corum,129574,HB,MICHIGAN,12,202,20,10,30.6,299,0,976,1,1,20,518,25.3,20,64,222,2,123,76.2,83.3,40.6,,50.3,65.0,82.7,57.0,54,2,72,11,101,224,0,0,13,213,22,976,518,2.56,4.8,0.71,79
Quinton Cooley,123380,HB,LIBERTY,12,201,39,19,36.2,454,0,1254,0,2,39,633,63.0,37,64,206,2,115,76.0,91.5,87.1,,31.5,55.4,91.9,68.3,60,1,33,4,108,288,0,0,6,205,13,1254,633,3.15,6.2,0.31,85
Rasheen Ali,121717,HB,MARSHALL,11,201,29,12,45.5,471,0,1035,3,5,29,524,38.9,22,50,214,5,78,68.7,74.6,58.7,,50.2,51.7,80.7,58.2,61,1,207,27,247,257,0,0,38,228,14,1035,524,2.61,5.1,0.84,123
Anthony Watkins,99165,HB,TULSA,12,198,32,11,31.3,279,0,891,1,5,32,608,54.9,20,44,320,0,53,91.0,80.4,84.3,,65.9,56.2,79.8,54.6,46,0,57,9,73,224,0,0,13,207,4,891,608,3.07,4.5,0.78,145
Ismail Mahdi,161419,HB,TEXAS ST,12,197,49,18,41.5,496,0,1196,2,6,49,714,92.3,38,63,314,3,97,69.3,82.2,84.8,,41.5,57.9,86.1,43.7,65,0,279,19,165,230,0,0,25,216,10,1196,714,3.62,6.1,1.69,99
Damien Martinez,162437,HB,OREGON ST,12,195,57,17,38.8,460,0,1185,2,5,57,744,114.8,39,59,265,1,64,84.9,83.1,89.2,,21.0,55.0,88.1,54.1,64,0,126,11,196,239,0,0,20,206,9,1185,744,3.82,6.1,0.64,131
DJ Giddens,144595,HB,KANSAS ST,12,195,62,14,30.0,322,0,1075,2,6,62,619,96.4,34,61,199,0,135,90.9,84.0,56.1,,71.7,60.2,89.4,50.4,43,1,289,29,227,270,0,0,38,224,9,1075,619,3.17,5.5,1.27,60
Corey Kiner,86392,HB,CINCINNATI,12,192,53,11,35.7,375,0,1050,1,4,53,637,92.7,26,54,138,1,28,84.1,81.7,88.2,,51.1,53.3,86.4,47.9,68,0,49,12,164,266,0,0,16,204,5,1050,637,3.32,5.5,0.3,164
Jalen Buckley,163158,HB,W MICHIGAN,11,189,30,11,37.9,378,0,998,4,8,30,585,56.8,25,50,347,2,47,75.0,70.3,1.3,,58.2,47.9,77.6,50.0,75,3,161,18,206,229,0,0,24,207,10,998,585,3.1,5.3,0.78,139
Jacory Croskey-Merritt,102382,HB,NEW MEXICO,12,188,64,21,42.0,500,1,1191,0,2,64,749,134.8,39,70,241,2,20,74.5,92.7,49.2,,63.7,74.1,92.5,53.8,55,2,72,7,73,220,0,0,8,195,17,1191,749,3.98,6.3,0.99,165
La'Damian Webb,122423,HB,S ALABAMA,11,187,49,14,38.2,385,0,1007,0,13,49,594,93.3,29,56,288,2,51,75.0,86.1,85.1,,37.6,78.3,86.5,54.7,65,1,149,24,154,188,0,0,24,211,16,1007,594,3.18,5.4,0.97,135
Nathan Carter,147376,HB,MICH STATE,12,187,31,9,27.9,222,0,795,2,5,31,492,45.3,19,41,223,2,67,75.4,74.2,87.6,,25.9,56.9,78.2,67.7,44,0,103,22,194,229,0,0,30,209,4,795,492,2.63,4.3,0.53,117
