NAME,POSITION,JERSEYNUMBER,CLASS,WEIGHT,HOMETOWN,OVERALLRANK,POSITIONRANK,SUMMARY,OVERALLGRADE,HEIGHT,TEAM
"Marvin Harrison Jr.","WR",18,"3-Year Junior",209,"Philadelphia, PA",1,1,"Harrison is an elite-level receiver prospect and a walking highlight reel whose hands, route tempo, suddenness, concentration, and flair for the dramatic are on full display any time he touches the field.","7.2","6'3","Ohio State"
"Caleb Williams","QB",13,"3-Year Junior",214,"Washington D.C.",2,1,"Williams is the accurate, off-script playmaking franchise quarterback who can dictate a team’s success in today’s NFL, with the belief that he can solidify his mechanics in a timing-based offense.","7.0","6'1","USC"
"Joe Alt","OT",76,"3-Year Junior",321,"North Oaks, MN",3,1,"Alt is an athletic wall of a left tackle who has all the goods teams look for in a franchise cornerstone, who, outside of increasing his hip flexibility and polishing his hand usage, leaves little to be desired as far as development at the next level.","7.0","6'9","Notre Dame"
"Malik Nabers","WR",8,"3-Year Junior",200,"Youngsville, LA",4,2,"Nabers is a next-level playmaker who can separate from defenders, excel in short and intermediate routes, and be a true No.1 in an NFL offense.","7.0","6'0","LSU"
"Rome Odunze","WR",1,"4-Year Junior",212,"Las Vegas, NV",5,3,"Odunze is a smooth athlete with fantastic body control and tracking ability downfield and will be a consistent chain mover at the next level.","6.9","6'3","Washington"
"JC Latham","OT",65,"3-Year Junior",342,"Oak Creek, WI",6,2,"Latham’s massive frame, excellent play strength, and fluid athleticism give him the ability to be a high-level, day 1 starter, and if he can hone in his aggressiveness and play under control more, he can be an elite-level player. ","6.9","6'6","Alabama"
"Drake Maye","QB",10,"3-Year Sophomore",223,"Huntersville, NC",7,2,"Maye is a young prospect with a tantalizing combination of size, athleticism, arm strength and accuracy to become a top NFL quarterback if and when the game slows down for him.","6.8","6'4","North Carolina"
"Brock Bowers","TE",19,"3-Year Junior",243,"Napa, CA",8,1,"Bowers is an athletic tight end who brings natural hands and big-time mismatch ability to an offense, and if he can improve his inline blocking, he could become one of the most well-rounded tight ends in the league.","6.8","6'3","Georgia"
"Olumuyiwa Fashanu","OT",74,"4-Year Junior",312,"Waldorf, MD",9,3,"Fashanu will fit any scheme at the next level and has ideal physical and athletic attributes, steady footwork, crafty hand fighting and effortless strength that allows him to eliminate any threat he gets his hands on, which are all traits that will lead to him providing security in the pass game and movement in the run game.","6.8","6'6","Penn State"
"Dallas Turner","ED",15,"3-Year Junior",247,"Fort Lauderdale, FL",10,1,"Turner is an imposing EDGE prospect who has the burst, strength, and pass rushing repertoire to be an impact rusher, especially when his hands and feet work together.","6.8","6'3","Alabama"
"Laiatu Latu","ED",15,"5-Year Junior",259,"Sacramento, CA",11,2,"Latu is an extremely polished pass rusher with a deep arsenal of pass rushing moves at his disposal and the quickness, athleticism and relentless effort to be a dynamic edge rushing threat.","6.8","6'5","UCLA"
"Taliese Fuaga","OT",75,"4-Year Junior",324,"Tacoma, WA",12,4,"Fuaga is a heavy-handed mauler on the right side of the line that will see him slot firmly in as a starter at the next level, but with a little refinement of his pad level and hip fluidity in pass pro, he can reach his full potential.","6.8","6'6","Oregon State"
"Kool-Aid McKinstry","CB",1,"3-Year Junior",199,"Birmingham, AL",13,1,"In a passing league where suddenness and separation are rewarded, McKinstry has the ability to smother would-be pass catchers. He brings the physicality and versatility required to be integral every week, as many offenses revolve around mismatches caused by scheme and alignment.","6.8","6'0","Alabama"
"Nate Wiggins","CB",2,"3-Year Junior",173,"Atlanta, GA",14,2,"Wiggins is a high-end starting corner whose quiet mechanics, transition ability and reactive athleticism could make him one of the league's best cover corners if he gets stronger and fills out his frame.","6.8","6'1","Clemson"
"Jer'Zhan Newton","DT",4,"4-Year Junior",304,"St. Petersburg, FL",15,1,"Newton is a disruptive force who, while slightly undersized, has violence in his hands, quickness in his feet, and a demeanor that is built to play at the next level.","6.7","6'2","Illinois"
"Chop Robinson","ED",44,"3-Year Junior",254,"Gaithersburg, MD",16,3,"Robinson is a naturally-talented but raw pass rusher with a freakish first step who needs to develop a reliable counter move and be more consistent against the run in order to reach his ceiling. ","6.7","6'3","Penn State"
"Ennis Rakestraw Jr.","CB",2,"4-Year Sophomore",183,"West Dallas, TX",17,3,"Rakestraw is a true scheme-versatile, sticky cover corner whose transition skills and athleticism will make him a strong starter at the next level, and could ascend to top-tier status if he fills out his frame and gets a bit stronger.","6.7","5'11","Missouri"
"Keon Coleman","WR",4,"3-Year Junior",213,"Opelousas, LA",18,4,"Coleman will quickly develop into a high-volume pass catcher with RAC upside due to his size, fluidity, physicality and vertical explosiveness, though he lacks the long speed and suddenness required to be a true game changer.","6.7","6'3","Florida State"
"Jared Verse","ED",5,"5-Year Junior",254,"Dayton, OH",19,4,"Verse is a top-tier pass rusher with heavy hands and a bag of tricks that makes it difficult for linemen to block him, but his inconsistencies in the run game and with his motor and stamina raise questions if he can hit his ceiling as a true three-down player.","6.7","6'4","Florida State"
"Byron Murphy II","DT",90,"3-Year Junior",297,"DeSoto, TX",20,2,"Murphy is a relentless interior defensive lineman who possesses the first-step quickness, heavy hands, and body control to be a dominant starter at the next level provided he’s able to improve his shed and finishing ability.","6.7","6'1","Texas"
"Brian Thomas Jr.","WR",11,"3-Year Junior",209,"Walker, LA",21,5,"Thomas is a height/weight/speed receiver whose ability to take the top off the defense and consistently make clutch receptions make him a strong starting-level receiver as long as he takes to learning an NFL route tree and improves his concentration. ","6.7","6'3","LSU"
"Troy Fautanu","OG",55,"5-Year Junior",317,"Henderson, NV",22,1,"Fautanu is a fleet-footed offensive lineman with a unique athletic profile who plays with a physical demeanor and will have positional versatility as he moves to the interior at the next level.","6.7","6'4","Washington"
"Ja'Tavion Sanders","TE","","3-Year Junior",245,"Denton, TX",23,2,"Sanders is a consistently-reliable pair of hands that can make big plays and attack at all three levels, but he will need to further develop his strength and technicality as a blocker to reach his full potential.","6.7","6'4","Texas"
"Tyler Nubin","S",27,"5-Year Senior",199,"St. Charles, IL",24,1,"Nubin has the ball skills, natural instincts, and reliability in coverage to be a consistent starting-level safety at the next level. ","6.7","6'2","Minnesota"
"Jayden Daniels","QB",5,"5-Year Senior",210,"San Bernardino, CA",25,3,"Daniels is an elite athlete with a unique set of skills that will enable him to make game-changing plays with his arm and legs.","6.7","6'3","LSU"
"Tyler Guyton","OT",60,"4-Year Junior",322,"Manor, TX",26,5,"Guyton has the physical profile and tools to anchor an offensive line for years, but he will need to work on his body composition, hand fighting, and body control in space to unlock his incredible potential.","6.7","6'8","Oklahoma"
"Jackson Powers-Johnson","OC",58,"3-Year Junior",328,"Draper, UT",27,1,"Powers-Johnson can improve in maintaining consistent leverage and hand striking but has great overall strength, physicality and athleticism to be reliable in the run and pass game at the next level.","6.7","6'3","Oregon"
"Quinyon Mitchell","CB",27,"4-Year Junior",195,"Williston, FL",28,4,"Mitchell has the makings of a starting outside cornerback with great ball skills and closing speed. He must improve his effort and dedication in the run game to be trusted on a down-to-down basis or be considered for slot usage.","6.7","6'0","Toledo"
"T'Vondre Sweat","NT",93,"5-Year Senior",366,"Hunstville, TX",29,1,"Sweat is a mammoth nose tackle who has heavy hands, surprising quickness for his size and is disruptive in the run and pass game, but he’ll need to fix his pad level and lose a little weight to hit his high ceiling.","6.7","6'5","Texas"
"Kamren Kinchens","S",5,"3-Year Junior",203,"Miami, FL",30,2,"Kinchens is a physically aggressive safety who can be a versatile piece at all levels of the defense, but he will need to better his man coverage abilities and eye discipline to reach his full potential at the next level.","6.7","5'11","Miami (FL)"
"Amarius Mims","OT",65,"3-Year Junior",340,"Cochran, GA",31,6,"Mims is mammoth right tackle prospect with an overall build that looks like he was created in a lab. He can unlock his high ceiling by improving his movement skills and overall football intelligence.","6.6","6'8","Georgia"
"Terrion Arnold","CB",3,"3-Year Sophomore",189,"Tallahassee, FL",32,5,"Arnold is a raw corner who currently gets turned around too often and gives up too much separation at the top of routes, but with his ball skills, burst, run support, and some refinement to his game, he should be no worse than a No. 3 CB and special teamer in the NFL.","6.6","6'0","Alabama"
"Graham Barton","OG",62,"4-Year Junior",313,"Brentwood, TN",33,2,"Barton is a versatile offensive lineman who has five-position potential with his athleticism and ability to finish blocks with tenacity, but he’ll need to improve in pass pro and with his hands and body control to hit that ceiling.","6.6","6'5","Duke"
"Cooper DeJean","CB",3,"3-Year Junior",203,"Odebolt, IA",34,6,"DeJean is an athletic and cerebral corner who has the FBI, ball skills and dynamic return ability to make a difference at the next level, but transition concerns will make it tough for him to stay with high-end receivers at the next level.","6.6","6'1","Iowa"
"Kamari Lassiter","CB",3,"3-Year Junior",186,"Savannah, GA",35,7,"Lassiter has the speed, athleticism, and transition skills to be a solid cover corner, but he will need to work on his ball skills and get stronger to be more effective in press if he wants to be an all-around starter.","6.6","6'0","Georgia"
"Junior Colson","MIKE",25,"3-Year Junior",238,"Brentwood, TN",36,1,"Colson is a prototypical run and cover linebacker with good athleticism, and as he continues to round out his game as a run defender he can develop into a high-level starting linebacker.","6.6","6'2","Michigan"
"Kingsley Suamataia","OT",78,"3-Year Sophomore",326,"Orem, UT",37,7,"Suamataia has the coveted combination of youth, size, power, and athletic ability to develop into a very good NFL tackle, but his inexperience shows in his lack of awareness and technique, making it difficult to trust him in pass protection right now.","6.6","6'5","BYU"
"Cedric Gray","MIKE",33,"4-Year Junior",234,"Charlotte, NC",38,2,"Gray will need to improve his tackling ability and tenacity against linemen, but his physical profile, FBI, and consistent winning-play football style will allow him to see the field early on in his NFL career.","6.6","6'2","North Carolina"
"Mekhi Wingo","DT",18,"3-Year Junior",284,"St. Louis, MO",39,3,"Wingo is a bulky, powerful, and explosive interior lineman that has the raw talent to be a three-down difference maker, but he will need to develop his pass rush repertoire and pressure production to see the field consistently at the next level.","6.6","6'0","LSU"
